Time,gENROE.delta,gENROE.PELEC,eXAC1_1.EFD,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0448,0.60045785,0.40000004,1.4314197,-2.3038482e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.045,0.60045785,0.40000004,1.4314197,-2.3140972e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0452,0.60045785,0.40000004,1.4314197,-2.3243457e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0454,0.60045785,0.40000004,1.4314197,-2.334594e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0456,0.60045785,0.40000004,1.4314197,-2.3448418e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0458,0.60045785,0.40000004,1.4314197,-2.3550895e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.046,0.60045785,0.40000004,1.4314197,-2.3653365e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0462,0.60045785,0.40000004,1.4314197,-2.3755833e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0464,0.60045785,0.40000004,1.4314197,-2.38583e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0466,0.60045785,0.40000004,1.4314197,-2.396076e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0468,0.60045785,0.40000004,1.4314197,-2.4063218e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.047,0.60045785,0.40000004,1.4314197,-2.4165672e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0472,0.60045785,0.40000004,1.4314197,-2.4268124e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0474,0.60045785,0.40000004,1.4314197,-2.4370572e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0476,0.60045785,0.40000004,1.4314197,-2.4473015e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0478,0.60045785,0.40000004,1.4314197,-2.4575458e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.048,0.60045785,0.40000004,1.4314197,-2.4677893e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0482,0.60045785,0.40000004,1.4314197,-2.4780328e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0484,0.60045785,0.40000004,1.4314197,-2.488276e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0486,0.60045785,0.40000004,1.4314197,-2.4985186e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0488,0.60045785,0.40000004,1.4314197,-2.508761e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.049,0.60045785,0.40000004,1.4314197,-2.5190028e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0492,0.60045785,0.40000004,1.4314197,-2.5292446e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0494,0.60045785,0.40000004,1.4314197,-2.5394858e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0496,0.60045785,0.40000004,1.4314197,-2.5497268e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0498,0.60045785,0.40000004,1.4314197,-2.5599675e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.05,0.60045785,0.40000004,1.4314197,-2.5702077e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0502,0.60045785,0.40000004,1.4314197,-2.5804478e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0504,0.60045785,0.40000004,1.4314197,-2.5906874e-10,0.99999994,0.9919935,0.99999994,0.99598414
