Time,gENROE.delta,gENROE.PELEC,eXAC1_1.EFD,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.17,0.6004578006825022,0.39999999703418493,1.4314196935474457,-2.179897500725549e-11,0.9999999918709063,0.991993538345606,0.9999999957929221,0.9959841730507437
1.176,0.6004578006879852,0.3999999970705199,1.4314196934935073,-2.1430987377912877e-11,0.9999999918699087,0.9919935383447743,0.9999999957924282,0.9959841730500901
1.182,0.6004578006934682,0.3999999971068556,1.4314196934395684,-2.106299974857026e-11,0.9999999918689115,0.991993538343943,0.9999999957919344,0.9959841730494368
1.188,0.6004578006989512,0.3999999971431906,1.4314196933856296,-2.0695012119227645e-11,0.9999999918679141,0.9919935383431113,0.9999999957914405,0.9959841730487832
1.194,0.6004578007044342,0.39999999717952595,1.4314196933316912,-2.0327024489885032e-11,0.9999999918669166,0.9919935383422798,0.9999999957909468,0.9959841730481298
1.2,0.6004578007099172,0.39999999721586127,1.4314196932777523,-1.9959036860542416e-11,0.9999999918659193,0.9919935383414482,0.9999999957904531,0.9959841730474764
1.206,0.6004578007154001,0.3999999972521963,1.4314196932238137,-1.9591049231199804e-11,0.9999999918649219,0.9919935383406167,0.9999999957899591,0.995984173046823
1.212,0.6004578007208832,0.39999999728853164,1.4314196931698748,-1.922306160185719e-11,0.9999999918639245,0.991993538339785,0.9999999957894653,0.9959841730461696
1.218,0.6004578007263661,0.39999999732486674,1.4314196931159364,-1.8855073972514575e-11,0.9999999918629271,0.9919935383389533,0.9999999957889714,0.995984173045516
1.224,0.6004578007318491,0.399999997361202,1.4314196930619978,-1.8487086343171962e-11,0.9999999918619298,0.9919935383381218,0.9999999957884776,0.9959841730448626
1.23,0.6004578007373321,0.3999999973975372,1.431419693008059,-1.8119098713829346e-11,0.9999999918609322,0.9919935383372903,0.9999999957879838,0.9959841730442092
1.236,0.6004578007428151,0.3999999974338725,1.4314196929541205,-1.775111108448673e-11,0.999999991859935,0.9919935383364586,0.9999999957874901,0.9959841730435557
1.242,0.6004578007482981,0.39999999747020776,1.431419692900182,-1.7383123455144117e-11,0.9999999918589374,0.9919935383356272,0.9999999957869962,0.9959841730429023
1.248,0.6004578007537811,0.39999999750654275,1.431419692846243,-1.70151358258015e-11,0.9999999918579401,0.9919935383347955,0.9999999957865024,0.9959841730422488
1.254,0.600457800759264,0.39999999754287807,1.4314196927923042,-1.664714819645889e-11,0.9999999918569427,0.991993538333964,0.9999999957860086,0.9959841730415955
1.26,0.6004578007647471,0.39999999757921334,1.4314196927383658,-1.6279160567116273e-11,0.9999999918559453,0.9919935383331324,0.9999999957855149,0.9959841730409421
1.266,0.60045780077023,0.3999999976155486,1.431419692684427,-1.591117293777366e-11,0.9999999918549479,0.9919935383323009,0.999999995785021,0.9959841730402886
1.272,0.6004578007757131,0.3999999976518838,1.4314196926304883,-1.5543185308431047e-11,0.9999999918539506,0.9919935383314693,0.9999999957845271,0.995984173039635
1.278,0.600457800781196,0.3999999976882193,1.4314196925765499,-1.517519767908843e-11,0.9999999918529532,0.9919935383306377,0.9999999957840334,0.9959841730389817
1.284,0.600457800786679,0.39999999772455413,1.4314196925226113,-1.4807210049745818e-11,0.9999999918519556,0.9919935383298061,0.9999999957835395,0.9959841730383282
